CodigoRadioCensal,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Total
820840810,119,120,54,37,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,350
820840811,126,87,84,71,67,21,9,2,0,0,0,0,0,0,0,0,0,0,0,467
820840812,79,83,32,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,230
820840813,53,49,36,32,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0,187
820840814,86,72,44,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
820840815,78,76,44,28,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,238
820840816,62,56,37,17,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,180
820840817,102,65,26,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,222
820840901,141,92,61,48,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364
820840902,64,55,36,28,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200
820840903,119,77,50,46,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0,303
820840904,115,96,55,49,13,4,1,0,0,0,0,0,0,0,0,0,1,0,0,334
820840905,73,62,30,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
820840906,97,95,52,54,11,3,2,1,0,0,0,0,0,0,0,0,0,0,0,315
820840907,36,32,42,52,30,11,3,1,1,0,0,0,0,0,0,0,0,0,0,208
820840908,77,90,53,57,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,302
820840909,110,59,37,28,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,242
820840910,89,77,36,29,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,237
820840911,77,65,30,30,10,3,1,1,1,0,0,0,0,0,0,0,0,0,0,218
820840912,98,46,37,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
820840913,63,51,32,24,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,181
820840914,62,57,36,22,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,189
